"best score","best length","iteration","time","try"
"6955.56509923289","462","194","24.632","0"
"6905.494890511143","463","656","81.425","1"
"6914.994905553578","463","179","22.166","2"
"6955.56509923289","462","109","13.561","3"
"6876.965987069751","461","317","39.329","4"
"6955.56509923289","462","65","8.193","5"
"6955.56509923289","462","332","41.143","6"
"6955.56509923289","462","76","9.41","7"
"6955.56509923289","462","101","12.543","8"
"6955.56509923289","462","130","16.147","9"
"6955.56509923289","462","35","4.359","10"
"6954.615614991639","462","433","53.904","11"
"6955.56509923289","462","239","30.057","12"
"6955.56509923289","462","160","21.219","13"
"6917.536180749064","460","436","56.067","14"
"6955.56509923289","462","87","10.834","15"
"6955.56509923289","462","52","6.466","16"
"6955.56509923289","462","593","75.835","17"
"6955.56509923289","462","191","23.953","18"
"6917.536180749064","460","392","49.619","19"
"6954.615614991639","462","197","25.764","20"
"6955.56509923289","462","258","32.764","21"
"6955.56509923289","462","152","19.172","22"
"6955.56509923289","462","145","18.205","23"
"6955.56509923289","462","38","4.696","24"
"6955.56509923289","462","202","25.42","25"
"6955.56509923289","462","452","57.556","26"
"6917.536180749064","460","784","99.809","27"
"6917.536180749064","460","677","85.758","28"
"6955.56509923289","462","95","11.838","29"
